Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoTest,Firefox 43.0,,2017-09-26 15:12:41,2017-09-26 15:18:27,5m - 45.742s,PASSED
,,,,,,
Test Cases/Test,Firefox 43.0,,2017-09-26 15:12:42,2017-09-26 15:18:27,5m - 44.982s,PASSED
callTestCase,Firefox 43.0,,2017-09-26 15:12:43,2017-09-26 15:13:36,52.979s,PASSED
callTestCase,Firefox 43.0,,2017-09-26 15:13:36,2017-09-26 15:14:10,34.022s,PASSED
callTestCase,Firefox 43.0,,2017-09-26 15:14:10,2017-09-26 15:14:10,0.003s,NOT_RUN
callTestCase,Firefox 43.0,,2017-09-26 15:14:10,2017-09-26 15:14:10,0.002s,NOT_RUN
callTestCase,Firefox 43.0,,2017-09-26 15:14:10,2017-09-26 15:14:56,45.790s,PASSED
callTestCase,Firefox 43.0,,2017-09-26 15:14:56,2017-09-26 15:15:27,31.097s,PASSED
callTestCase,Firefox 43.0,,2017-09-26 15:15:27,2017-09-26 15:15:28,1.290s,PASSED
callTestCase,Firefox 43.0,,2017-09-26 15:15:28,2017-09-26 15:16:28,1m - 0.102s,PASSED
verifyEqual,Firefox 43.0,,2017-09-26 15:16:28,2017-09-26 15:16:28,0.002s,PASSED
verifyEqual,Firefox 43.0,,2017-09-26 15:16:28,2017-09-26 15:16:28,0.001s,PASSED
verifyEqual,Firefox 43.0,,2017-09-26 15:16:28,2017-09-26 15:16:28,0.002s,PASSED
callTestCase,Firefox 43.0,,2017-09-26 15:16:28,2017-09-26 15:16:58,29.437s,PASSED
verifyEqual,Firefox 43.0,,2017-09-26 15:16:58,2017-09-26 15:16:58,0.001s,PASSED
verifyEqual,Firefox 43.0,,2017-09-26 15:16:58,2017-09-26 15:16:58,0.002s,PASSED
callTestCase,Firefox 43.0,,2017-09-26 15:16:58,2017-09-26 15:18:27,1m - 29.164s,PASSED
